teamId,W0,W1,W2,W3,W4,W5,W6,W7
0,5:A:S,28:H:M,1:H:S,8:A:D,27:H:S,BYE,17:H:L,4:A:D
1,10:A:S,11:A:D,0:A:S,22:H:S,BYE,29:H:S,4:H:M,17:A:S
2,7:H:V,12:A:V,BYE,9:A:V,13:A:V,3:H:D,6:H:L,26:H:D
3,6:A:L,BYE,14:A:L,21:H:M,7:A:S,2:A:D,19:H:V,24:H:S
4,23:A:D,22:H:M,BYE,29:H:L,20:A:S,25:A:D,1:A:M,0:H:D
5,0:H:S,20:H:M,22:A:L,28:A:S,10:H:M,BYE,11:H:L,27:A:L
6,3:H:L,BYE,7:H:V,26:H:S,16:A:M,15:A:D,2:A:L,18:A:L
7,2:A:V,26:H:L,6:A:V,19:A:V,3:H:S,24:A:L,21:A:M,BYE
8,BYE,25:H:V,11:A:S,0:H:D,31:H:L,17:A:L,29:A:L,23:H:D
9,26:A:V,18:H:M,30:A:S,2:H:V,15:H:M,12:A:M,16:H:S,BYE
10,1:H:S,23:A:L,20:H:S,31:A:D,5:A:M,11:H:S,BYE,22:A:M
11,BYE,1:H:D,8:H:S,27:A:M,25:A:M,10:A:S,5:A:L,20:H:S
12,30:H:V,2:H:V,13:H:S,16:A:M,BYE,9:H:M,18:A:L,14:H:V
13,BYE,21:A:V,12:A:S,14:H:S,2:H:V,30:H:S,15:H:M,19:A:M
14,15:H:V,24:A:L,3:H:L,13:A:S,30:H:S,26:A:L,BYE,12:A:V
15,14:A:V,30:A:D,BYE,18:H:D,9:A:M,6:H:D,13:A:M,16:H:S
16,21:A:V,19:H:S,18:H:V,12:H:M,6:H:M,BYE,9:A:S,15:A:S
17,29:A:L,27:H:V,BYE,20:A:M,28:H:V,8:H:L,0:A:L,1:H:S
18,24:A:D,9:A:M,16:A:V,15:A:D,19:H:V,BYE,12:H:L,6:H:L
19,BYE,16:A:S,24:H:D,7:H:V,18:A:V,21:H:V,3:A:V,13:H:M
20,31:A:L,5:A:M,10:A:S,17:H:M,4:H:S,28:A:L,BYE,11:A:S
21,16:H:V,13:H:V,26:A:D,3:A:M,24:H:M,19:A:V,7:H:M,BYE
22,25:A:D,4:A:M,5:H:L,1:A:S,29:H:L,BYE,23:H:V,10:H:M
23,4:H:D,10:H:L,31:H:V,25:H:L,BYE,27:A:M,22:A:V,8:A:D
24,18:H:D,14:H:L,19:A:D,30:A:L,21:A:M,7:H:L,BYE,3:A:S
25,22:H:D,8:A:V,28:A:D,23:A:L,11:H:M,4:H:D,BYE,31:H:D
26,9:H:V,7:A:L,21:H:D,6:A:S,BYE,14:H:L,30:H:V,2:A:D
27,28:H:S,17:A:V,29:A:D,11:H:M,0:A:S,23:H:M,BYE,5:H:L
28,27:A:S,0:A:M,25:H:D,5:H:S,17:A:V,20:H:L,31:A:M,BYE
29,17:H:L,31:H:L,27:H:D,4:A:L,22:A:L,1:A:S,8:H:L,BYE
30,12:A:V,15:H:D,9:H:S,24:H:L,14:A:S,13:A:S,26:A:V,BYE
31,20:H:L,29:A:L,23:A:V,10:H:D,8:A:L,BYE,28:H:M,25:A:D
