teamId,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11
0,4:H:M,8:H:S,2:H:D,6:H:S,2:A:M,9:H:J,3:H:M,1:H:M,BYE,7:H:S,5:H:M,1:A:S
1,2:H:L,6:H:S,5:H:D,3:H:J,9:H:D,7:H:J,8:H:M,0:A:M,4:H:M,BYE,2:A:L,0:H:S
2,1:A:L,7:H:S,0:A:D,BYE,0:H:M,3:H:M,4:H:L,5:H:L,9:H:M,6:H:S,1:H:L,8:H:D
3,5:A:L,BYE,8:H:D,1:A:J,5:H:D,2:A:M,0:A:M,9:H:L,7:H:S,4:A:M,4:H:S,6:H:M
4,0:A:M,5:H:L,9:H:L,8:H:J,7:H:M,6:H:M,2:A:L,BYE,1:A:M,3:H:M,3:A:S,5:A:J
5,3:H:L,4:A:L,1:A:D,7:H:M,3:A:D,8:H:M,6:H:L,2:A:L,BYE,9:H:S,0:A:M,4:H:J
6,7:H:S,1:A:S,7:A:L,0:A:S,8:A:D,4:A:M,5:A:L,BYE,8:H:S,2:A:S,9:H:S,3:A:M
7,6:A:S,2:A:S,6:H:L,5:A:M,4:A:M,1:A:J,10:H:L,8:A:J,3:A:S,0:A:S,8:H:M,BYE
8,BYE,0:A:S,3:A:D,4:A:J,6:H:D,5:A:M,1:A:M,7:H:J,6:A:S,10:H:S,7:A:M,2:A:D
9,10:H:S,11:H:L,4:A:L,BYE,1:A:D,0:A:J,11:A:L,3:A:L,2:A:M,5:A:S,6:A:S,10:A:J
10,9:A:S,23:H:D,BYE,11:H:S,11:A:M,23:A:M,7:A:L,22:A:L,11:A:M,8:A:S,22:H:S,9:H:J
11,BYE,9:A:L,23:H:D,10:A:S,10:H:M,22:H:M,9:H:L,23:A:D,10:H:M,22:A:M,23:H:L,23:H:M
12,13:H:L,14:A:J,13:A:S,21:H:S,BYE,17:H:D,16:H:M,15:H:M,20:H:M,18:H:L,14:H:M,19:H:L
13,12:A:L,17:H:J,12:H:S,BYE,15:H:M,21:H:M,19:H:M,16:H:L,14:H:J,20:H:S,18:H:D,14:A:J
14,15:H:L,12:H:J,21:H:M,16:H:M,17:H:L,18:H:D,BYE,20:H:J,13:A:J,19:H:M,12:A:M,13:H:J
15,14:A:L,20:H:J,BYE,18:H:S,13:A:M,16:H:S,17:H:L,12:A:M,19:H:S,21:H:D,17:A:D,16:A:D
16,18:H:J,BYE,17:H:J,14:A:M,20:H:J,15:A:S,12:A:M,13:A:L,21:H:M,17:A:J,19:H:S,15:H:D
17,21:H:M,13:A:J,16:A:J,20:H:J,14:A:L,12:A:D,15:A:L,19:H:L,18:H:S,16:H:J,15:H:D,BYE
18,16:A:J,19:H:D,20:A:L,15:A:S,19:A:L,14:A:D,BYE,21:H:M,17:A:S,12:A:L,13:A:D,20:H:J
19,20:H:J,18:A:D,22:H:D,BYE,18:H:L,20:A:S,13:A:M,17:A:L,15:A:S,14:A:M,16:A:S,12:A:L
20,19:A:J,15:A:J,18:H:L,17:A:J,16:A:J,19:H:S,22:H:L,14:A:J,12:A:M,13:A:S,BYE,18:A:J
21,17:A:M,22:H:J,14:A:M,12:A:S,23:H:M,13:A:M,23:A:S,18:A:M,16:A:M,15:A:D,BYE,22:A:M
22,23:A:M,21:A:J,19:A:D,23:A:D,BYE,11:A:M,20:A:L,10:H:L,23:H:M,11:H:M,10:A:S,21:H:M
23,22:H:M,10:A:D,11:A:D,22:H:D,21:A:M,10:H:M,21:H:S,11:H:D,22:A:M,BYE,11:A:L,11:A:M
