run;instance;seed;stop_reason;time_ms;generations;max_generations;pareto_size;stagnation_threshold;stagnation_window;run_dir
1;config/instance_nfl.properties;1765533510149;stagnation;1689;50;1000;2;0.2;50;C:\Users\gonza\Desktop\ae\aefinalfinal\AlgoritmoEvolutivo\resultados_moea\corrida_001
2;config/instance_nfl.properties;1765533559756;stagnation;2243;50;1000;2;0.2;50;C:\Users\gonza\Desktop\ae\aefinalfinal\AlgoritmoEvolutivo\resultados_moea\corrida_002
3;config/instance_nfl.properties;1765533721526;stagnation;2922;50;1000;2;0.2;50;C:\Users\gonza\Desktop\ae\aefinalfinal\AlgoritmoEvolutivo\resultados_moea\corrida_003
4;config/instance_nfl.properties;1765533886741;stagnation;1889;50;1000;1;0.2;50;C:\Users\gonza\Desktop\ae\aefinalfinal\AlgoritmoEvolutivo\resultados_moea\corrida_004
5;config/instance_nfl.properties;1765533914978;stagnation;2177;50;1000;2;0.2;50;C:\Users\gonza\Desktop\ae\aefinalfinal\AlgoritmoEvolutivo\resultados_moea\corrida_005
6;config/instance_nfl.properties;1765533945229;stagnation;2196;50;1000;2;0.2;50;C:\Users\gonza\Desktop\ae\aefinalfinal\AlgoritmoEvolutivo\resultados_moea\corrida_006
7;config/instance_nfl.properties;1765533987685;stagnation;1098;50;1000;2;0.2;50;C:\Users\gonza\Desktop\ae\aefinalfinal\AlgoritmoEvolutivo\resultados_moea\corrida_007
8;config/instance_nfl.properties;1765534023296;stagnation;985;50;1000;1;0.2;50;C:\Users\gonza\Desktop\ae\aefinalfinal\AlgoritmoEvolutivo\resultados_moea\corrida_008
9;config/instance_nfl.properties;1765534119416;stagnation;1195;50;1000;2;0.2;50;C:\Users\gonza\Desktop\ae\aefinalfinal\AlgoritmoEvolutivo\resultados_moea\corrida_009
10;config/instance_nfl.properties;1765534199400;stagnation;1779;50;1000;1;0.2;50;C:\Users\gonza\Desktop\ae\aefinalfinal\AlgoritmoEvolutivo\resultados_moea\corrida_010
11;config/instance_nfl.properties;1765534224613;stagnation;2366;50;1000;2;0.2;50;C:\Users\gonza\Desktop\ae\aefinalfinal\AlgoritmoEvolutivo\resultados_moea\corrida_011
12;config/instance_nfl.properties;1765534256559;stagnation;2843;50;1000;2;0.2;50;C:\Users\gonza\Desktop\ae\aefinalfinal\AlgoritmoEvolutivo\resultados_moea\corrida_012
13;config/instance_nfl.properties;1765534286961;stagnation;2462;50;1000;3;0.2;50;C:\Users\gonza\Desktop\ae\aefinalfinal\AlgoritmoEvolutivo\resultados_moea\corrida_013
14;config/instance_nfl.properties;1765534316688;stagnation;2126;50;1000;2;0.2;50;C:\Users\gonza\Desktop\ae\aefinalfinal\AlgoritmoEvolutivo\resultados_moea\corrida_014
15;config/instance_nfl.properties;1765534348175;stagnation;2502;50;1000;2;0.2;50;C:\Users\gonza\Desktop\ae\aefinalfinal\AlgoritmoEvolutivo\resultados_moea\corrida_015
16;config/instance_nfl.properties;1765534404208;stagnation;1655;50;1000;2;0.2;50;C:\Users\gonza\Desktop\ae\aefinalfinal\AlgoritmoEvolutivo\resultados_moea\corrida_016
17;config/instance_nfl.properties;1765534445521;stagnation;1153;50;1000;1;0.2;50;C:\Users\gonza\Desktop\ae\aefinalfinal\AlgoritmoEvolutivo\resultados_moea\corrida_017
18;config/instance_nfl.properties;1765535122615;stagnation;1940;50;1000;2;0.2;50;C:\Users\gonza\Desktop\ae\aefinalfinal\AlgoritmoEvolutivo\resultados_moea\corrida_018
19;config/instance_nfl.properties;1765535163980;stagnation;2467;50;1000;2;0.2;50;C:\Users\gonza\Desktop\ae\aefinalfinal\AlgoritmoEvolutivo\resultados_moea\corrida_019
20;config/instance_nfl.properties;1765535184080;stagnation;2177;50;1000;2;0.2;50;C:\Users\gonza\Desktop\ae\aefinalfinal\AlgoritmoEvolutivo\resultados_moea\corrida_020
21;config/instance_nfl.properties;1765535203722;stagnation;2564;50;1000;1;0.2;50;C:\Users\gonza\Desktop\ae\aefinalfinal\AlgoritmoEvolutivo\resultados_moea\corrida_021
22;config/instance_nfl.properties;1765535248265;stagnation;3311;50;1000;1;0.2;50;C:\Users\gonza\Desktop\ae\aefinalfinal\AlgoritmoEvolutivo\resultados_moea\corrida_022
23;config/instance_nfl.properties;1765535269599;stagnation;2868;50;1000;2;0.2;50;C:\Users\gonza\Desktop\ae\aefinalfinal\AlgoritmoEvolutivo\resultados_moea\corrida_023
24;config/instance_nfl.properties;1765535295145;stagnation;3829;50;1000;3;0.2;50;C:\Users\gonza\Desktop\ae\aefinalfinal\AlgoritmoEvolutivo\resultados_moea\corrida_024
25;config/instance_nfl.properties;1765535316395;stagnation;1991;50;1000;2;0.2;50;C:\Users\gonza\Desktop\ae\aefinalfinal\AlgoritmoEvolutivo\resultados_moea\corrida_025
26;config/instance_nfl.properties;1765535336183;stagnation;1911;50;1000;2;0.2;50;C:\Users\gonza\Desktop\ae\aefinalfinal\AlgoritmoEvolutivo\resultados_moea\corrida_026
27;config/instance_nfl.properties;1765535364566;stagnation;2065;50;1000;2;0.2;50;C:\Users\gonza\Desktop\ae\aefinalfinal\AlgoritmoEvolutivo\resultados_moea\corrida_027
