run;instance;seed;stop_reason;time_ms;generations;max_generations;pareto_size;stagnation_threshold;stagnation_window;run_dir
1;config/instance_nfl.properties;575346467;stagnation;8902;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p1\corrida_001
2;config/instance_nfl.properties;690022610;stagnation;79173;100;1000;5;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p1\corrida_002
3;config/instance_nfl.properties;1424257266;stagnation;72402;157;1000;5;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p1\corrida_003
4;config/instance_nfl.properties;760871889;stagnation;49121;100;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p1\corrida_004
5;config/instance_nfl.properties;890474447;stagnation;105106;193;1000;6;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p1\corrida_005
6;config/instance_nfl.properties;1455500169;stagnation;79040;182;1000;5;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p1\corrida_006
7;config/instance_nfl.properties;212517704;stagnation;47905;100;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p1\corrida_007
8;config/instance_nfl.properties;934060570;stagnation;14808;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p1\corrida_008
9;config/instance_nfl.properties;1124114628;stagnation;32287;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p1\corrida_009
10;config/instance_nfl.properties;765843637;stagnation;13688;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p1\corrida_010
11;config/instance_nfl.properties;1502474994;stagnation;19621;100;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p1\corrida_011
12;config/instance_nfl.properties;1349829717;stagnation;44212;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p1\corrida_012
13;config/instance_nfl.properties;1493661747;stagnation;33425;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p1\corrida_013
14;config/instance_nfl.properties;734959693;stagnation;95828;100;1000;7;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p1\corrida_014
15;config/instance_nfl.properties;891998443;stagnation;41642;111;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p1\corrida_015
16;config/instance_nfl.properties;1660981312;stagnation;19876;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p1\corrida_016
17;config/instance_nfl.properties;1830451251;stagnation;79666;198;1000;5;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p1\corrida_017
18;config/instance_nfl.properties;1233644345;stagnation;34702;100;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p1\corrida_018
19;config/instance_nfl.properties;1063465592;stagnation;41256;100;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p1\corrida_019
20;config/instance_nfl.properties;606122930;stagnation;42104;100;1000;8;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p1\corrida_020
