teamId,W0,W1,W2,W3,W4,W5,W6,W7
0,4:A:S,27:H:L,BYE,8:A:L,1:H:D,5:A:L,28:H:L,17:H:D
1,29:H:V,11:A:L,17:A:M,22:H:S,0:A:D,BYE,4:H:V,10:A:S
2,BYE,3:H:L,26:H:S,7:H:D,6:H:V,12:A:V,13:A:V,9:A:M
3,21:H:V,2:A:L,24:H:S,6:A:D,19:H:D,BYE,7:A:D,14:A:M
4,0:H:S,25:A:M,23:A:S,BYE,22:H:M,29:H:V,1:A:V,20:A:V
5,22:A:L,28:A:V,10:H:L,BYE,20:H:S,0:H:L,11:H:D,27:A:L
6,7:H:D,BYE,15:A:S,3:H:D,2:A:V,18:A:S,16:A:M,26:H:V
7,6:A:D,21:A:S,BYE,2:A:D,26:H:V,19:A:L,3:H:D,24:A:V
8,31:H:V,23:H:L,11:A:V,0:H:L,25:H:M,17:A:L,29:A:D,BYE
9,15:H:S,18:H:V,16:H:L,BYE,30:A:V,26:A:D,12:A:V,2:H:M
10,20:H:D,31:A:S,5:A:L,BYE,23:A:S,11:H:D,22:A:M,1:H:S
11,25:A:S,1:H:L,8:H:V,20:H:L,27:A:D,10:A:D,5:A:D,BYE
12,14:H:S,13:H:D,BYE,18:A:M,16:A:S,2:H:V,9:H:V,30:H:V
13,BYE,12:A:D,30:H:L,19:A:L,21:A:L,14:H:M,2:H:V,15:H:S
14,12:A:S,26:A:S,BYE,15:H:V,24:A:L,13:A:M,30:H:M,3:H:M
15,9:A:S,16:H:S,6:H:S,14:A:V,BYE,30:A:S,18:H:S,13:A:S
16,19:H:L,15:A:S,9:A:L,21:A:L,12:H:S,BYE,6:H:M,18:H:L
17,28:H:S,20:A:D,1:H:M,27:H:D,29:A:M,8:H:L,BYE,0:A:D
18,24:A:V,9:A:V,19:H:M,12:H:M,BYE,6:H:S,15:A:S,16:A:L
19,16:A:L,24:H:M,18:A:M,13:H:L,3:A:D,7:H:L,BYE,21:H:M
20,10:A:D,17:H:D,28:A:M,11:A:L,5:A:S,31:A:D,BYE,4:H:V
21,3:A:V,7:H:S,BYE,16:H:L,13:H:L,24:H:L,26:A:D,19:A:M
22,5:H:L,29:H:S,25:A:L,1:A:S,4:A:M,BYE,10:H:M,23:H:L
23,27:A:V,8:A:L,4:H:S,BYE,10:H:S,25:H:S,31:H:D,22:A:L
24,18:H:V,19:A:M,3:A:S,30:A:D,14:H:L,21:A:L,BYE,7:H:V
25,11:H:S,4:H:M,22:H:L,31:H:V,8:A:M,23:A:S,BYE,28:A:S
26,30:H:S,14:H:S,2:A:S,BYE,7:A:V,9:H:D,21:H:D,6:A:V
27,23:H:V,0:A:L,29:A:M,17:A:D,11:H:D,28:H:L,BYE,5:H:L
28,17:A:S,5:H:V,20:H:M,BYE,31:A:M,27:A:L,0:A:L,25:H:S
29,1:A:V,22:A:S,27:H:M,BYE,17:H:M,4:A:V,8:H:D,31:H:M
30,26:A:S,BYE,13:A:L,24:H:D,9:H:V,15:H:S,14:A:M,12:A:V
31,8:A:V,10:H:S,BYE,25:A:V,28:H:M,20:H:D,23:A:D,29:A:M
