run;instance;seed;stop_reason;time_ms;generations;max_generations;pareto_size;stagnation_threshold;stagnation_window;run_dir
1;config/instance_nfl_intermedia.properties;575346467;stagnation;20159;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\pop200_cx0p7_mut0p1\corrida_001
2;config/instance_nfl_intermedia.properties;690022610;stagnation;47794;198;1000;8;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\pop200_cx0p7_mut0p1\corrida_002
3;config/instance_nfl_intermedia.properties;1424257266;stagnation;5788;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\pop200_cx0p7_mut0p1\corrida_003
4;config/instance_nfl_intermedia.properties;760871889;stagnation;11066;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\pop200_cx0p7_mut0p1\corrida_004
5;config/instance_nfl_intermedia.properties;890474447;stagnation;25585;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\pop200_cx0p7_mut0p1\corrida_005
6;config/instance_nfl_intermedia.properties;1455500169;stagnation;8611;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\pop200_cx0p7_mut0p1\corrida_006
7;config/instance_nfl_intermedia.properties;212517704;stagnation;8131;103;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\pop200_cx0p7_mut0p1\corrida_007
8;config/instance_nfl_intermedia.properties;934060570;stagnation;5984;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\pop200_cx0p7_mut0p1\corrida_008
9;config/instance_nfl_intermedia.properties;1124114628;stagnation;20516;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\pop200_cx0p7_mut0p1\corrida_009
10;config/instance_nfl_intermedia.properties;765843637;stagnation;6952;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\pop200_cx0p7_mut0p1\corrida_010
11;config/instance_nfl_intermedia.properties;1502474994;stagnation;27963;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\pop200_cx0p7_mut0p1\corrida_011
12;config/instance_nfl_intermedia.properties;1349829717;stagnation;5000;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\pop200_cx0p7_mut0p1\corrida_012
13;config/instance_nfl_intermedia.properties;1493661747;stagnation;4600;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\pop200_cx0p7_mut0p1\corrida_013
