run;instance;seed;stop_reason;time_ms;generations;max_generations;pareto_size;stagnation_threshold;stagnation_window;run_dir
1;config/instance_nfl_reducido.properties;575346467;stagnation;62001;347;1000;8;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p01\corrida_001
2;config/instance_nfl_reducido.properties;690022610;stagnation;24444;100;1000;5;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p01\corrida_002
3;config/instance_nfl_reducido.properties;1424257266;stagnation;26274;100;1000;5;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p01\corrida_003
4;config/instance_nfl_reducido.properties;760871889;stagnation;41680;154;1000;5;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p01\corrida_004
5;config/instance_nfl_reducido.properties;890474447;stagnation;32302;100;1000;8;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p01\corrida_005
6;config/instance_nfl_reducido.properties;1455500169;stagnation;28166;100;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p01\corrida_006
7;config/instance_nfl_reducido.properties;212517704;stagnation;40939;166;1000;5;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p01\corrida_007
8;config/instance_nfl_reducido.properties;934060570;stagnation;16595;100;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p01\corrida_008
9;config/instance_nfl_reducido.properties;1124114628;stagnation;17326;184;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p01\corrida_009
10;config/instance_nfl_reducido.properties;765843637;stagnation;58932;351;1000;6;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p01\corrida_010
11;config/instance_nfl_reducido.properties;1502474994;stagnation;23556;100;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p01\corrida_011
12;config/instance_nfl_reducido.properties;1349829717;stagnation;50062;254;1000;8;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p01\corrida_012
13;config/instance_nfl_reducido.properties;1493661747;stagnation;47533;182;1000;5;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p01\corrida_013
14;config/instance_nfl_reducido.properties;734959693;stagnation;28164;106;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p01\corrida_014
15;config/instance_nfl_reducido.properties;891998443;stagnation;29284;130;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p01\corrida_015
16;config/instance_nfl_reducido.properties;1660981312;stagnation;29095;127;1000;6;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p01\corrida_016
17;config/instance_nfl_reducido.properties;1830451251;stagnation;54996;298;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p01\corrida_017
18;config/instance_nfl_reducido.properties;1233644345;stagnation;41935;240;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p01\corrida_018
19;config/instance_nfl_reducido.properties;1063465592;stagnation;26559;126;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p01\corrida_019
20;config/instance_nfl_reducido.properties;606122930;stagnation;34209;213;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p01\corrida_020
21;config/instance_nfl_reducido.properties;835500794;stagnation;12290;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p01\corrida_021
22;config/instance_nfl_reducido.properties;1001915945;stagnation;78568;305;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p01\corrida_022
23;config/instance_nfl_reducido.properties;735627957;stagnation;27956;147;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p01\corrida_023
24;config/instance_nfl_reducido.properties;495675644;stagnation;40961;204;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p01\corrida_024
25;config/instance_nfl_reducido.properties;550785070;stagnation;56598;240;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p01\corrida_025
26;config/instance_nfl_reducido.properties;1498800289;stagnation;43027;215;1000;5;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p01\corrida_026
27;config/instance_nfl_reducido.properties;937933140;stagnation;27706;104;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p01\corrida_027
28;config/instance_nfl_reducido.properties;1270431010;stagnation;21198;147;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p01\corrida_028
29;config/instance_nfl_reducido.properties;484442342;stagnation;19982;124;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p01\corrida_029
30;config/instance_nfl_reducido.properties;1709348956;stagnation;22419;108;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p01\corrida_030
