teamId,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11
0,7:H:D,8:H:J,3:H:S,1:A:L,6:H:M,4:H:M,9:H:M,2:H:L,5:H:M,BYE,1:H:L,2:A:L
1,8:H:J,7:H:M,9:H:L,0:H:L,4:H:D,BYE,2:H:L,5:H:L,6:H:M,2:A:M,0:A:L,3:H:M
2,5:H:M,4:H:D,7:H:J,BYE,3:H:S,6:H:J,1:A:L,0:A:L,8:H:J,1:H:M,9:H:D,0:H:L
3,4:H:S,5:H:M,0:A:S,9:H:S,2:A:S,7:H:D,6:H:M,BYE,4:A:J,8:H:J,5:A:J,1:A:M
4,3:A:S,2:A:D,5:H:M,8:H:J,1:A:D,0:A:M,BYE,7:H:S,3:H:J,5:A:S,6:H:D,9:H:D
5,2:A:M,3:A:M,4:A:M,6:H:J,9:H:D,8:H:L,7:H:M,1:A:L,0:A:M,4:H:S,3:H:J,BYE
6,9:H:S,BYE,8:H:S,5:A:J,0:A:M,2:A:J,3:A:M,8:A:M,1:A:M,7:H:D,4:A:D,7:A:D
7,0:A:D,1:A:M,2:A:J,10:H:D,8:H:D,3:A:D,5:A:M,4:A:S,BYE,6:A:D,8:A:D,6:H:D
8,1:A:J,0:A:J,6:A:S,4:A:J,7:A:D,5:A:L,BYE,6:H:M,2:A:J,3:A:J,7:H:D,10:H:M
9,6:A:S,10:A:M,1:A:L,3:A:S,5:A:D,BYE,0:A:M,11:A:S,11:H:J,10:H:M,2:A:D,4:A:D
10,11:H:M,9:H:M,11:A:J,7:A:D,23:A:J,11:A:L,22:A:L,22:H:S,23:H:M,9:A:M,BYE,8:A:M
11,10:A:M,23:H:S,10:H:J,22:A:M,22:H:J,10:H:L,23:H:M,9:H:S,9:A:J,23:H:S,23:A:D,BYE
12,BYE,14:H:M,21:H:M,13:A:S,18:H:S,20:H:J,13:H:D,14:A:J,16:H:L,19:H:M,15:H:D,17:H:J
13,21:H:L,BYE,17:H:S,12:H:S,14:A:S,14:H:D,12:A:D,20:H:J,19:H:S,16:H:M,18:H:S,15:H:L
14,19:H:J,12:A:M,15:H:D,BYE,13:H:S,13:A:D,18:H:D,12:H:J,21:H:L,17:H:M,20:H:D,16:H:S
15,18:H:L,16:A:D,14:A:D,17:H:M,20:H:M,16:H:L,19:H:D,21:H:L,17:A:J,BYE,12:A:D,13:A:L
16,17:H:S,15:H:D,20:H:S,18:H:L,19:H:S,15:A:L,21:H:M,BYE,12:A:L,13:A:M,17:A:D,14:A:S
17,16:A:S,18:H:D,13:A:S,15:A:M,21:H:M,BYE,20:H:S,19:H:S,15:H:J,14:A:M,16:H:D,12:A:J
18,15:A:L,17:A:D,19:H:M,16:A:L,12:A:S,21:H:M,14:A:D,BYE,20:A:L,20:H:S,13:A:S,19:A:J
19,14:A:J,20:A:S,18:A:M,20:H:S,16:A:S,BYE,15:A:D,17:A:S,13:A:S,12:A:M,22:H:J,18:H:J
20,BYE,19:H:S,16:A:S,19:A:S,15:A:M,12:A:J,17:A:S,13:A:J,18:H:L,18:A:S,14:A:D,22:H:J
21,13:A:L,22:H:D,12:A:M,23:A:M,17:A:M,18:A:M,16:A:M,15:A:L,14:A:L,22:A:J,BYE,23:H:M
22,23:A:M,21:A:D,23:H:M,11:H:M,11:A:J,23:A:S,10:H:L,10:A:S,BYE,21:H:J,19:A:J,20:A:J
23,22:H:M,11:A:S,22:A:M,21:H:M,10:H:J,22:H:S,11:A:M,BYE,10:A:M,11:A:S,11:H:D,21:A:M
